macro,praca,arquetipo,insolvente_em,caixa_min_MM,caixa_final_MM,lancamentos,preco_var_pct,estoque_meses_fim,vso_medio_pct
focus_base,lajeado,fluxo_dependente,2028-04,-1.5859304991378536,-1.5859304991378536,4,0.2224667228304611,17.368997969535055,6.156177284124786
focus_base,lajeado,intermediaria,2028-08,2.2675036423719384,5.50883453973292,3,6.951350952663882,12.51106180604188,8.248241367701727
focus_base,lajeado,capitalizada,sobrevive,14.230451453550318,29.324240264492182,4,9.526527429463139,11.090996368826092,9.640823004598804
focus_base,balneario_camboriu,fluxo_dependente,2028-01,-5.365061528568743,-5.365061528568743,3,2.563331371587352,17.412443873315222,4.962977178694713
focus_base,balneario_camboriu,intermediaria,2028-05,-3.9225805146766732,8.156857074471901,2,4.664314911712664,16.806608596332726,5.268827545658217
focus_base,balneario_camboriu,capitalizada,sobrevive,36.225516585005174,50.784250908580084,4,9.050306753091487,13.287898090448769,6.174202873260234
fiscal_adverso,lajeado,fluxo_dependente,2028-02,-1.6226879275141568,-1.6226879275141568,3,-3.169943063051206,24.83182789847479,4.7653220666790785
fiscal_adverso,lajeado,intermediaria,2028-05,0.570417866635037,2.2430375784290058,2,1.2655766251760792,22.07604152004039,5.590694899299761
fiscal_adverso,lajeado,capitalizada,sobrevive,12.880045140973184,14.445116077617786,4,2.5180497903558585,23.084120442591953,5.966977337760836
fiscal_adverso,balneario_camboriu,fluxo_dependente,2027-06,-5.119994872369901,-5.119994872369901,2,-7.889465036390564,27.04384749275413,3.4956963812393207
fiscal_adverso,balneario_camboriu,intermediaria,2028-01,-5.909198618624164,-5.909198618624164,2,-6.91143260513728,27.855997565562845,3.5751349871414684
fiscal_adverso,balneario_camboriu,capitalizada,sobrevive,30.603440983292614,35.646201667666126,2,-0.9623629920590515,24.410073348807767,4.047445563835045
benigno,lajeado,fluxo_dependente,2028-06,-1.6438315117996,-1.6438315117996,4,2.18489744275685,14.002089897955244,7.023926438789467
benigno,lajeado,intermediaria,sobrevive,3.0047923007346196,17.2374344728279,5,10.464898194220096,8.57209268443939,10.797764313693426
benigno,lajeado,capitalizada,sobrevive,14.237218513000645,33.550918468767094,4,13.157418008722988,7.650751518062452,11.962599562663184
benigno,balneario_camboriu,fluxo_dependente,2028-02,-4.672494759886812,-4.672494759886812,3,5.807672294041866,13.547949966124252,5.822227137259834
benigno,balneario_camboriu,intermediaria,2028-05,-1.9595542844318379,11.133181394140523,2,7.786903637219855,12.780131118911813,6.22802407378858
benigno,balneario_camboriu,capitalizada,sobrevive,36.279598225067346,64.92823735180112,4,11.903924479225992,9.358942389752501,7.592794913782708
