mes,selic,incc_mm,ipca_mm,taxa_fin
1994-07,131.0300,3.5800,6.8400,
1994-08,56.4600,0.1400,1.8600,
1994-09,57.0600,0.3800,1.5300,
1994-10,60.3000,1.3200,2.6200,
1994-11,65.3600,2.3600,2.8100,
1994-12,53.2500,1.3200,1.7100,
1995-01,46.2500,3.5000,1.7000,
1995-02,56.5400,2.0900,1.0200,
1995-03,57.9800,3.3000,1.5500,
1995-04,85.4700,2.3000,2.4300,
1995-05,61.0500,8.7700,2.6700,
1995-06,60.8400,3.1200,2.2600,
1995-07,60.5300,1.0900,2.3600,
1995-08,51.1100,0.6200,0.9900,
1995-09,51.0000,0.7200,0.9900,
1995-10,44.1100,0.8600,1.4100,
1995-11,42.9300,0.7300,1.4700,
1995-12,41.2200,0.8600,1.5600,
1996-01,33.8300,1.5200,1.3400,
1996-02,36.1100,0.1100,1.0300,
1996-03,30.1600,0.9800,0.3500,
1996-04,29.4200,0.2500,1.2600,
1996-05,25.6400,2.1600,1.2200,
1996-06,29.6500,1.5400,1.1900,
1996-07,23.2800,0.7500,1.1100,
1996-08,25.0100,0.2300,0.4400,
1996-09,25.4000,0.2200,0.1500,
1996-10,23.4800,0.2600,0.3000,
1996-11,25.2700,0.5800,0.3200,
1996-12,23.9400,0.5900,0.4700,
1997-01,21.7300,0.3200,1.1800,
1997-02,26.1400,0.4800,0.5000,
1997-03,24.1100,0.7300,0.5100,
1997-04,21.8400,0.2300,0.8800,
1997-05,21.9100,0.8600,0.4100,
1997-06,21.0800,1.1100,0.5400,
1997-07,19.0400,0.5100,0.2200,
1997-08,20.7800,1.1800,-0.0200,
1997-09,19.8100,0.2700,0.0600,
1997-10,19.9300,0.1500,0.2300,
1997-11,45.9000,0.5400,0.1700,
1997-12,39.8700,0.2300,0.4300,
1998-01,37.1900,0.3300,0.7100,
1998-02,34.3200,0.4800,0.4600,
1998-03,28.3200,0.4700,0.3400,
1998-04,25.1600,-0.5000,0.2400,
1998-05,22.6000,0.9800,0.5000,
1998-06,21.0200,0.3900,0.0200,
1998-07,20.3300,0.3400,-0.1200,
1998-08,19.2300,0.2200,-0.5100,
1998-09,34.2900,0.0100,-0.2200,
